GPU_Category,VRAM,Average_Price,Count
1050,2gb,40.0,4
1050,4gb,60.833333333333336,6
1050,Unknown,47.666666666666664,9
1060,3gb,50.0,1
1060,6gb,84.65,20
1060,8gb,65.0,1
1060,Unknown,90.83333333333333,6
1070,8gb,126.66666666666667,9
1070,Unknown,139.07142857142858,14
1080,11gb,220.0,2
1080,3gb,40.0,2
1080,4gb,80.0,1
1080,8gb,131.14285714285714,7
1080,Unknown,267.05882352941177,17
1650,4gb,70.0,3
1650,Unknown,93.33333333333333,6
1660,6 gb,120.0,2
1660,6gb,139.11111111111111,9
1660,Unknown,125.55555555555556,9
2060,6 gb,140.0,1
2060,6gb,140.0,1
2060,Unknown,140.0,1
2070,8gb,273.3333333333333,3
2070,Unknown,189.5,2
2080,Unknown,309.2857142857143,7
3050,8gb,215.0,2
3060,12 gb,250.0,1
3060,12gb,260.0,1
3060,8gb,278.75,8
3060,Unknown,272.3529411764706,17
3070,8gb,410.0,1
3070,Unknown,423.0,10
3080,12gb,680.0,2
3080,19 gb,780.0,2
3080,Unknown,556.5,6
3090,24gb,1235.0,4
3090,Unknown,950.0,1
390,Unknown,170.0,1
4070,Unknown,780.0,1
470,1 gb,35.0,2
470,4gb,40.0,2
480,4gb,125.0,2
480,6gb,250.0,2
480,Unknown,40.0,2
5500,Unknown,65.0,1
5600,Unknown,136.0,5
570 ,4gb,55.0,2
570 ,8 gb,120.0,1
5700,8gb,200.0,2
5700,Unknown,179.375,8
580 ,8gb,101.11111111111111,9
580 ,Unknown,66.33333333333333,3
6600,8gb,170.0,1
6700,12gb,300.0,1
6750,Unknown,237.5,4
6800,16gb,483.3333333333333,3
6800,Unknown,166.66666666666666,3
6900,Unknown,650.0,2
960,2gb,36.25,4
960,4gb,50.0,4
960,Unknown,40.0,4
970,3gb,30.0,2
970,4gb,38.333333333333336,3
970,Unknown,67.77777777777777,9
980,4gb,65.0,2
980,6gb,100.0,4
980,Unknown,90.0,2
Unknown,2 gb,37.0,2
Unknown,24gb,150.0,2
Unknown,2gb,31.666666666666668,9
Unknown,3gb,33.333333333333336,3
Unknown,4gb,65.0,1
Unknown,Unknown,39.130434782608695,23
Vega,Unknown,106.66666666666667,3
quadro,Unknown,1357.0,2
