Brand,Base_Model,Extended_Model,VRAM_Base,VRAM_Extended,VRAM_Comparison
NVIDIA,RTX 3060,RTX 3060 Ti GA103,12.0,8.0,Decreased
NVIDIA,RTX 3080,RTX 3080 Ti 20 GB,10.0,20.0,Increased
NVIDIA,RTX 3090,RTX 3090 Ti,24.0,24.0,Unchanged
NVIDIA,RTX 4080,RTX 4080 Ti,16.0,20.0,Increased
NVIDIA,RTX 3070,RTX 3070 Ti,8.0,8.0,Unchanged
NVIDIA,RTX 3080,RTX 3080 Ti,10.0,12.0,Increased
NVIDIA,RTX 3060,RTX 3060 Ti,12.0,8.0,Decreased
NVIDIA,GTX 1660,GTX 1660 Ti,6.0,6.0,Unchanged
NVIDIA,RTX 2080,RTX 2080 Ti,8.0,11.0,Increased
NVIDIA,GTX 1070,GTX 1070 Ti,8.0,8.0,Unchanged
NVIDIA,GTX 1080,GTX 1080 Ti,8.0,11.0,Increased
NVIDIA,GTX 1050,GTX 1050 Ti,2.0,4.0,Increased
Radeon,RX 6600,RX 6600 XT,8.0,8.0,Unchanged
Radeon,RX 6700,RX 6700 XT,6.0,12.0,Increased
Radeon,Pro 5700,Pro 5700 XT,8.0,16.0,Increased
Radeon,RX 6800,RX 6800 XT,16.0,16.0,Unchanged
Radeon,RX 5300,RX 5300 XT,3.0,4.0,Increased
Radeon,RX 560,RX 560 XT,4.0,4.0,Unchanged
Radeon,RX 5700,RX 5700 XT,8.0,8.0,Unchanged
Radeon,RX 5700,RX 5700 XT 50th Anniversary,8.0,8.0,Unchanged
NVIDIA,GTX 1650,GTX 1650 SUPER,4.0,4.0,Unchanged
NVIDIA,GTX 1660,GTX 1660 SUPER,6.0,6.0,Unchanged
NVIDIA,RTX 2060,RTX 2060 SUPER,6.0,8.0,Increased
NVIDIA,RTX 2070,RTX 2070 SUPER,8.0,8.0,Unchanged
NVIDIA,RTX 2080,RTX 2080 SUPER,8.0,8.0,Unchanged
